current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	current_itr_eval_4800_return_mean	current_itr_eval_4800_return_std	current_itr_eval_4800_length_mean	current_itr_eval_4800_length_std	current_itr_eval_5000_return_mean	current_itr_eval_5000_return_std	current_itr_eval_5000_length_mean	current_itr_eval_5000_length_std	current_itr_eval_5500_return_mean	current_itr_eval_5500_return_std	current_itr_eval_5500_length_mean	current_itr_eval_5500_length_std	current_itr_eval_6000_return_mean	current_itr_eval_6000_return_std	current_itr_eval_6000_length_mean	current_itr_eval_6000_length_std	TestEpRet	TestEpNormRet	Iteration	Steps	total_time	current_eval_time
579.6708507537842	0.11014179923757911	0.10816382203548221	3978.0314775235915	501.16561970370094	959.7	120.9	3280.947635353091	1528.9398370006056	778.9	343.0295759843457	3936.789932084549	826.9109144133778	915.5	183.43677384864793	3477.0700315824542	1413.0975727961948	948.8	153.6	3978.0314775235915	102.33827497499801	1	5000	835.6995799541473	256.0279700756073
575.48095536232	0.03882852696180344	0.004915773357705162	3822.2549515172623	1328.9721798016833	889.4	280.3113269206223	4264.790213242056	764.2374688504626	1000.0	0.0	3914.856294847699	1295.8437965446492	904.5	286.5	4115.162660034477	738.9682889271189	944.6	110.8144394923333	3822.2549515172623	98.63398453183511	2	10000	1667.9439008235931	256.62318778038025
570.4333939552307	0.031054310192540287	0.0031513342642663887	3501.077957228275	1006.274556798796	915.4	253.8	3847.509810910344	710.5512665768161	964.6	106.20000000000002	3302.002320138089	1495.3814522129842	919.6	241.20000000000002	4228.401885732406	940.7493173946016	949.7	150.9	3501.077957228275	90.99655095304199	3	15000	2493.2897028923035	254.78132820129395
568.4170696735382	0.0277535050265491	0.002715501499268301	2941.1482708873414	1674.6931606381258	705.6	369.1395941916825	3704.329028962965	601.9266579111066	935.5	148.06164256822223	3465.4253058961804	1366.2547090193964	820.6	295.0129488683505	3983.382817010831	704.5580779935069	948.2	104.06613281947206	2941.1482708873414	77.68169383604835	4	20000	3292.652514696121	230.7902548313141
568.5293438434601	0.025962904401496054	0.0025205438091209695	3345.100506872568	1692.4754294540578	908.2	275.40000000000003	3713.819158489424	1230.4590829057904	885.2	279.1436189490994	3287.089469212602	1696.3351970220706	764.3	367.1757208748966	3748.0843146927	1066.7484739418169	877.1	248.04775749843017	3345.100506872568	87.28748262603305	5	25000	4095.3481879234314	234.04864525794983
573.127635717392	0.024786420505866408	0.0023890728789964823	3679.649867186895	904.7008640374947	927.5	217.5	3926.3848794840205	217.48395363622484	985.1	44.699999999999996	3626.1342382540984	1207.1557059969668	908.8	273.6	3789.576097430139	1036.511757487295	922.5	232.5	3679.649867186895	95.24290460102478	6	30000	4914.9966378211975	246.38806223869324
569.370934009552	0.023992788787558676	0.0022814077344489162	3291.3789504261704	1527.4507485386287	897.8	247.98903201553088	3524.7831529504356	928.5711247587263	892.1	229.78270169880065	3832.7990272666116	715.1626170746179	935.5	129.6281219489043	3138.7782267448106	1341.713377995742	842.6	238.15003674154661	3291.3789504261704	86.01000999753099	7	35000	5717.993077516556	233.46924781799316
566.7823705673218	0.02330394506044686	0.002179106056555712	4582.399902815559	1105.3888629071018	1000.0	0.0	4442.766167849032	873.8366485498036	913.1	173.81740419187025	3904.6846336656736	1845.433215419797	821.3	358.2301076124116	4572.0211915192685	922.2561435267796	964.2	107.4	4582.399902815559	116.7098638103241	8	40000	6522.902231216431	237.95888233184814
565.3075177669525	0.02286236000955105	0.0021124213981093473	4130.084855385639	944.2854870039538	1000.0	0.0	3496.852039989079	2124.7791445793314	937.5	137.7644729239001	3656.6627702766214	1484.2333682152641	963.4	109.8	4012.801267786798	1805.3228948718422	819.4	350.0880460684141	4130.084855385639	105.9540307560849	9	45000	7327.365841627121	239.02401995658875
562.8877038955688	0.022503489335626365	0.0021222288015625163	3626.506128196414	1028.9767571205246	924.0	228.0	3067.7038040689636	1411.585952981973	772.2	356.46957794459826	3924.1000095609243	195.05269568666628	991.8	24.599999999999998	2854.5859726552612	1738.080933727252	823.3	353.59865667165644	3626.506128196414	93.97917219214833	10	50000	8109.568642854691	219.12599563598633
564.1692686080933	0.022139178997650742	0.00206810596684953	3872.708345593649	1681.7686975316135	1000.0	0.0	4398.22252904688	798.0526234542388	980.0	60.0	4765.660190688243	702.1517151833383	1000.0	0.0	4279.7179970645175	1281.1041399226751	1000.0	0.0	3872.708345593649	99.83374183990796	11	55000	8928.792326450348	254.9168198108673
567.6260750293732	0.021869007985666395	0.002007315184931539	5033.271580151446	421.4989959357181	997.1	8.7	5147.136421987083	359.34065482907886	984.2	47.400000000000006	4877.108082308546	1124.409054612494	931.1	206.7	5108.570753790884	475.10873832713844	1000.0	0.0	5033.271580151446	127.43137422184972	12	60000	9745.086743831635	248.56592631340027
563.8142385482788	0.021650445802509785	0.0020014842430804967	4198.113735751941	897.6581824213763	993.0	21.0	3530.0776928747887	1199.2192304623684	834.2	268.5035567734625	3566.4125194671433	1734.8985763625599	900.0	279.9442801701796	3839.1863957767264	1694.9384783193768	866.6	267.8507793529823	4198.113735751941	107.57172462730225	13	65000	10538.43543601036	229.36610579490662
