current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	current_itr_eval_5000_return_mean	current_itr_eval_5000_return_std	current_itr_eval_5000_length_mean	current_itr_eval_5000_length_std	current_itr_eval_2500_return_mean	current_itr_eval_2500_return_std	current_itr_eval_2500_length_mean	current_itr_eval_2500_length_std	TestEpRet	TestEpNormRet	Iteration	Steps	total_time	current_eval_time
1364.3550958633423	0.16528714483752846	0.26394030557902665	3425.051899709592	568.5524519382295	933.3	149.417569248064	3509.2338289535933	276.35117410441507	956.9	68.5878269082787	3425.051899709592	74.57347515592971	1	5000	1435.7341620922089	71.378084897995
1362.3432259559631	0.04738563117533922	0.004910529984069535	3079.915270296007	779.7074591249554	823.4	190.4044117135945	3353.5151349703933	678.0145525043964	894.0	162.67759526130203	3079.915270296007	67.05525766626333	2	10000	2863.9980070590973	65.90841364860535
1364.4389407634735	0.0422842967055738	0.0035129363793981174	3627.0361845211482	114.58864658478636	987.4	37.8	3443.684334212576	502.2113960666509	934.7	127.42766575591033	3627.0361845211482	78.97336103674205	3	15000	4301.425929307938	72.97709584236145
1361.6563920974731	0.04011259608827531	0.0031652268544149396	3274.42706432968	690.5257312321655	882.8	172.16956757801304	3345.560634208208	404.4496347081553	908.5	100.24395243604474	3274.42706432968	71.29236797917058	4	20000	5731.621487379074	68.52733659744263
1363.1908283233643	0.03900764043033123	0.0029865050324721257	3219.769089841042	745.901251085466	882.3	182.92952194766158	3170.9876912777277	776.8313064148603	874.4	193.30504390729178	3219.769089841042	70.10173648795963	5	25000	7162.20897269249	67.3847906589508
1363.3456377983093	0.038176805772259834	0.0028541774919215784	3181.2688568909425	756.4104924528831	856.2	190.27338226877666	3673.983407626066	242.88592003170655	972.7	57.44049094497713	3181.2688568909425	69.26307405675529	6	30000	8595.844186306	70.27779722213745
1363.7055110931396	0.0375400423001498	0.0027140006831412188	3275.7370152573317	684.3392900863797	876.7	177.10282324118947	3495.1152802461997	542.5532886467478	937.0	139.10715294333357	3275.7370152573317	71.320903043651	7	35000	10028.601321220398	69.03953504562378
1362.605013847351	0.037047124387323854	0.002657106104632145	3107.2640547992673	678.9941928867102	839.9	176.36748566558407	3396.3604519286755	643.8013673858995	921.6	164.07022886556842	3107.2640547992673	67.65100466165725	8	40000	11458.380805969238	67.16249942779541
1362.434678554535	0.03663448183722794	0.0025591548038658807	3580.8268048716172	206.35421410454998	951.3	62.68341088358226	3319.449112110507	618.5210158364757	876.1	160.0746388407608	3580.8268048716172	77.96676788881099	9	45000	12890.214885234833	69.38753604888916
1363.4317588806152	0.03636445420086384	0.0025587449480609257	3452.6449615178367	441.3904324217721	945.9	113.47991011628446	2990.4998517304643	1237.8798451800606	833.8	311.2943301764425	3452.6449615178367	75.17454331908777	10	50000	14321.37231206894	67.71312379837036
1363.0383541584015	0.0361426247023046	0.002576592396879884	3372.6782113627196	260.507913431754	963.2	83.8865901083123	3212.4553152719045	567.087431086519	910.8	146.12104571210816	3372.6782113627196	73.43260297323262	11	55000	15756.471443414688	72.04896330833435
1362.959275007248	0.03585397932641208	0.0025096809487021527	3168.403703404891	690.175642985548	837.6	175.41619081487318	2888.414407230336	782.1059476021748	779.0	194.82402315936298	3168.403703404891	68.98282845630884	12	60000	17181.798160791397	62.35538959503174
1362.7872993946075	0.03550649628005922	0.002448430530238719	3630.388678700829	353.28186044149567	965.2	87.74143832876231	3601.75820137577	318.92484322465515	969.4	75.01493184693298	3630.388678700829	79.04638944992007	13	65000	18617.858760118484	73.26147270202637
1361.9561231136322	0.03536948671527207	0.0024035807350372886	3559.446728233665	295.8780881324984	947.0	87.94771173828231	3293.8582967002158	527.5242616206446	876.6	141.12349202028696	3559.446728233665	77.50103909502006	14	70000	20049.47108411789	69.64417576789856
1362.23548412323	0.03527990790903568	0.002388446711617181	3024.755539122571	761.7281225072766	812.8	188.28637762727286	2828.2324359061317	875.5555927960831	764.1	212.7098728315167	3024.755539122571	65.85369625466227	15	75000	21471.974220991135	60.252190351486206
1361.6971988677979	0.035073502357304095	0.002410178924469972	3230.2539073697217	757.8038350069234	876.6	183.1672459802789	3042.8659000160014	665.8724826906798	838.4	182.01109856269753	3230.2539073697217	70.33013049717856	16	80000	22899.940988063812	66.25785732269287
1362.0283308029175	0.034927450051158666	0.0023598336597438056	3089.2468203656745	721.4565548898095	862.7	193.20716860406603	2806.5780907334074	857.9584229862563	800.8	219.35304875930035	3089.2468203656745	67.25852969525276	17	85000	24325.273307323456	63.292160749435425
1361.6720881462097	0.03479728934317827	0.002298795120051424	3364.1762118075967	651.44833167107	872.6	162.65497225722922	3050.00953819623	707.6290152908456	800.7	175.83631593046982	3364.1762118075967	73.2474012985768	18	90000	25751.35267663002	64.39546918869019
1361.2193269729614	0.034728204161301256	0.0023655652350253816	3525.1591230038334	366.89766104989644	950.6	98.53446097685824	3144.610998182334	609.6532144008625	845.1	158.57581782857056	3525.1591230038334	76.75414163080222	19	95000	27182.187118053436	69.60288786888123
1346.4570755958557	0.034598418310284616	0.002301474723237962	3369.0782868777387	519.6366041168961	923.1	138.07928881624497	2997.2088913244343	630.3505066689743	854.7	179.54333738682703	3369.0782868777387	73.35418470951356	20	100000	28589.763494491577	61.107290506362915
