current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	current_itr_eval_12000_return_mean	current_itr_eval_12000_return_std	current_itr_eval_12000_length_mean	current_itr_eval_12000_length_std	current_itr_eval_6000_return_mean	current_itr_eval_6000_return_std	current_itr_eval_6000_length_mean	current_itr_eval_6000_length_std	TestEpRet	TestEpNormRet	Iteration	Steps	total_time	current_eval_time
1413.2258801460266	0.15812332090958953	0.25780301898473	4962.160796329261	135.1793519013836	1000.0	0.0	5001.891831319429	103.40329678601486	1000.0	0.0	5001.891831319429	42.5452649882511	1	5000	1484.3881452083588	71.16123867034912
1411.236912727356	0.03592899840213359	0.0048075136646229585	4973.505442189962	152.1947970476268	1000.0	0.0	5025.560050521978	180.44948937878561	1000.0	0.0	5025.560050521978	42.73590436036285	2	10000	2966.1238358020782	70.4854326248169
1393.0948441028595	0.030419963828474283	0.0033959577856547	5006.866638211247	146.79536877747594	1000.0	0.0	5007.802750026644	99.10544671326308	1000.0	0.0	5007.802750026644	42.592875407155184	3	15000	4427.414459943771	68.18226885795593
1387.3288886547089	0.027468439923971893	0.0027930916835378914	4955.25001109187	170.98931128611764	1000.0	0.0	5007.821200080394	126.74252570423464	1000.0	0.0	5007.821200080394	42.59302401599779	4	20000	5884.065494775772	69.30928587913513
1389.0311930179596	0.02537885246798396	0.002351730413658242	4939.38434386205	102.23614927355906	1000.0	0.0	4961.851079346919	135.66100627784374	1000.0	0.0	4961.851079346919	42.22275049108523	5	25000	7342.761155843735	69.65099453926086
1386.9952161312103	0.02370257599838078	0.002102369274046546	4740.8250743604185	409.03465605697687	1000.0	0.0	4502.5183700784155	893.3149006408323	1000.0	0.0	4502.5183700784155	38.52298336724922	6	30000	8799.634261608124	69.86279630661011
1386.5752732753754	0.02238539388589561	0.0019813730186095794	4981.528941056506	150.89618148437563	1000.0	0.0	4907.415387446914	102.23864717546456	1000.0	0.0	4907.415387446914	41.784289699613105	7	35000	10255.78405547142	69.5609016418457
1385.6450870037079	0.021253932643681764	0.0018144531678769026	4969.226804891476	91.53919286645552	1000.0	0.0	4920.70258294051	153.3297152701037	1000.0	0.0	4920.70258294051	41.891313493179815	8	40000	11711.005314588547	69.56329202651978
1388.4792177677155	0.0202922701459378	0.0016634749399057722	4452.407144826897	1455.4838004672197	1000.0	0.0	4923.044420102091	229.44295364768814	1000.0	0.0	4923.044420102091	41.910176186745865	9	45000	13169.57882142067	70.08076786994934
1387.595107793808	0.019438580323010685	0.0014731513192708615	4938.1434951983765	216.38493880979073	1000.0	0.0	4620.762088310513	948.3703752513572	1000.0	0.0	4620.762088310513	39.47539588324863	10	50000	14627.183260440826	69.99617290496826
1392.0276381969452	0.018738476675748825	0.0013149492881995041	4882.959765294187	226.22319059886925	1000.0	0.0	4933.577486893058	166.7577208546306	1000.0	0.0	4933.577486893058	41.995016420067046	11	55000	16089.23835349083	70.01487731933594
1388.9396772384644	0.01815609824154526	0.001210031257791212	4917.314947011078	148.27215024125906	1000.0	0.0	4967.835859569323	103.56881179113277	1000.0	0.0	4967.835859569323	42.270955839111714	12	60000	17548.21276950836	70.02253985404968
1388.401082277298	0.017598593428730963	0.0010565206819651252	4919.076046445104	191.14834253942993	1000.0	0.0	4915.134045018594	166.42298592173995	1000.0	0.0	4915.134045018594	41.846460833842436	13	65000	19006.57403087616	69.94739961624146
1389.5847914218903	0.017157175565883517	0.00099433788823691	4747.4191068971395	278.209228970286	1000.0	0.0	4920.753818340959	169.9424076616771	1000.0	0.0	4920.753818340959	41.891726176723424	14	70000	20466.295989990234	70.12448024749756
1391.1307172775269	0.01678636247329414	0.0009321204007649124	5032.987738051168	133.17874943242506	1000.0	0.0	4996.496526027826	126.5494418004753	1000.0	0.0	4996.496526027826	42.501807658219626	15	75000	21927.546128749847	70.10551166534424
1388.112285375595	0.01645139274969697	0.000898536792100626	4826.372122226055	509.2916062486711	1000.0	0.0	4715.683522404343	863.7013368956474	1000.0	0.0	4715.683522404343	40.23995541519878	16	80000	23385.14767241478	69.4732973575592
1387.8656389713287	0.016136918379552664	0.0008277720721027225	4784.701952661153	340.7601207549961	1000.0	0.0	4776.232594513962	165.58966693791174	1000.0	0.0	4776.232594513962	40.72765738340108	17	85000	24843.082395792007	70.05710077285767
1388.1716623306274	0.01590610646624118	0.0008419974594372553	4966.050571298242	122.07474680919574	1000.0	0.0	4805.177649409548	180.52583281048263	1000.0	0.0	4805.177649409548	40.960799853639834	18	90000	26301.357135534286	70.09067416191101
1379.9079420566559	0.01565903553068638	0.0008045372661416622	4775.858387272003	424.9588822050646	1000.0	0.0	4834.117229561785	156.373795458333	1000.0	0.0	4834.117229561785	41.1938982267023	19	95000	27749.594082832336	68.31461834907532
1371.9824967384338	0.015448006154224276	0.0007760947003180532	4566.852693225271	1139.681342856525	1000.0	0.0	4858.040595990036	120.22533404959523	1000.0	0.0	4858.040595990036	41.38659272203594	20	100000	29189.53778409958	67.94793319702148
