current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	current_itr_eval_5000_return_mean	current_itr_eval_5000_return_std	current_itr_eval_5000_length_mean	current_itr_eval_5000_length_std	current_itr_eval_2500_return_mean	current_itr_eval_2500_return_std	current_itr_eval_2500_length_mean	current_itr_eval_2500_length_std	TestEpRet	TestEpNormRet	Iteration	Steps	total_time	current_eval_time
1768.2338690757751	0.1543901259973645	0.16059063108938526	2537.79412873628	736.2246493270038	803.6	193.94184695418366	2587.951951334281	850.9104038520911	811.8	218.83820507397695	2537.79412873628	55.246065883526946	1	5000	1843.3368315696716	75.10192012786865
1764.0139439105988	0.0574214040890336	0.006658041554012826	1498.8812661729357	1402.7706212252003	459.0	362.234454462852	2334.396322013219	1243.8521655306547	661.9	318.5013186785888	1498.8812661729357	32.61510704605371	2	10000	3661.9168541431427	54.44819736480713
1768.8150663375854	0.04795848175510764	0.0042940111074456595	3309.536937299282	814.2519664062867	910.4	209.61784275199477	3410.1276195393743	560.514591470025	933.6	140.41595350956385	3309.536937299282	72.05717715479624	3	15000	5523.318361520767	92.47227692604065
1761.944248199463	0.0439711831882596	0.0035310924345200063	3501.5220403540247	718.3296576422953	910.1	174.59808131820924	3536.91859821822	395.4807535575799	931.7	118.23540079011867	3501.5220403540247	76.23924777996865	4	20000	7378.685628414154	93.33039903640747
1762.0335490703583	0.041725249847769735	0.003206385594620155	3564.13843952331	361.1203951841496	943.8	101.7730809202512	2953.5910438265264	714.9970304388305	776.2	165.8305158889642	3564.13843952331	77.60324008694086	5	25000	9229.342053890228	88.53795671463013
1761.279790878296	0.04022005631178618	0.002900788563403106	3490.9357798244905	409.36052394833206	960.1	119.7	3613.788297628345	91.735203211616	1000.0	0.0	3490.9357798244905	76.00864400662087	6	30000	11092.992803096771	102.25856399536133
1780.7931413650513	0.039176000002026555	0.002783044065064823	3195.6551908844135	746.8047862060808	835.0	174.49011433316215	3114.720759027395	752.1690236283498	835.8	193.1293866815716	3195.6551908844135	69.57645600067028	7	35000	12959.9277946949	86.04946780204773
1775.093223810196	0.038293919359892604	0.0026260340008745016	3469.6305807655103	477.90418386664066	903.9	129.9157034388068	3425.7512725141983	929.7985801418605	916.1	200.5634313627487	3469.6305807655103	75.5445462941926	8	40000	14831.068582057953	95.90063858032227
1782.7565755844116	0.037642668402194976	0.002587900003007771	3254.41246774514	627.5980914086572	893.4	162.9356928361616	3293.3381929135603	630.3435648490498	905.3	159.2532888200429	3254.41246774514	70.85638385790772	9	45000	16707.197746038437	93.26150393486023
1786.464495420456	0.037058385840430856	0.002450209620231741	1755.7994452605149	1545.1264132084218	508.8	395.92064861535073	1763.6167454133235	1396.2724853282095	649.4	377.3163659318265	1755.7994452605149	38.21163486378016	10	50000	18555.46961236	61.69396185874939
1774.191237449646	0.03670384990014136	0.002425384785840314	3384.4119914163666	646.7147896926439	898.4	164.61603810078773	3123.241631956783	791.4802318907952	858.0	217.57343587855573	3384.4119914163666	73.68820351777383	11	55000	20420.486750125885	90.7239191532135
1382.3807127475739	0.03627078865244985	0.0023720160494460642	2903.531090152656	806.2583634373054	810.4	212.6603865321419	3092.8880774493273	737.8284296310974	850.8	179.51311929772712	2903.531090152656	63.21302674945989	12	60000	21864.301610469818	61.313398599624634
1381.3614757061005	0.03591311148293316	0.002355563739021454	3012.5960763942967	549.5109395200429	802.2	146.8630654725687	3352.3706172979205	447.0842453511245	889.7	118.40696770038494	3012.5960763942967	65.58882293332287	13	65000	23308.220314741135	62.468517541885376
1381.5977494716644	0.03560108057036996	0.0023149665807369033	2880.8582451577445	1039.0086946928182	807.7	249.8307627174844	2877.16786009917	1188.951639599419	865.1	262.4734081769047	2880.8582451577445	62.7191371844176	14	70000	24751.76415038109	61.8441596031189
1381.2550420761108	0.03531182920150459	0.0022304989158834186	3386.440342343082	539.9010509273936	911.3	137.86228635852518	3036.2030577258647	523.4147792956032	842.9	142.5373284441658	3386.440342343082	73.73238771067831	15	75000	26198.15309071541	65.04376459121704
1382.6517496109009	0.03509001678600907	0.002173256017937567	2987.6645812166926	723.6012350115353	818.1	183.64392176165265	3497.570361259852	511.2741601032991	955.7	132.89999999999998	2987.6645812166926	65.04573249575826	16	80000	27646.404071092606	65.4766047000885
1382.5240094661713	0.03485830690301955	0.0021860160790941907	3132.145861102191	706.8816730544645	862.7	184.82643209238228	3505.1729473520318	404.89777129351035	959.2	104.78721296036078	3132.145861102191	68.19301271116208	17	85000	29096.903195142746	67.84228873252869
1369.0446174144745	0.03458959879539907	0.002122063186575887	3420.590150415958	558.2144014287375	931.5	142.85324637543243	3367.7881433427674	701.5700451533144	912.5	176.39458608472086	3420.590150415958	74.47628349698901	18	90000	30532.715908765793	66.68211722373962
1359.682739019394	0.03440279064029455	0.0020993557320208656	3362.91274984001	642.257676761639	888.4	160.22808742539493	2628.3214410970386	1422.6714106358163	724.2	337.8499075033172	3362.91274984001	73.21987891743059	19	95000	31952.676245212555	60.17938685417175
1362.5269680023193	0.03431360603682697	0.0020760025031393743	3617.0052664663403	111.88315211924008	1000.0	0.0	2870.2002674452115	1167.767230235503	909.1	175.97184433880327	3617.0052664663403	78.75485445954912	20	100000	33382.623611688614	67.31865048408508
