current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	Iteration	Steps	total_time
228.7775731086731	0.48580992319062355	1.093396004089629	1	5000	228.7782609462738
227.25451135635376	0.038061175061762334	0.007624925083315604	2	10000	456.14356565475464
227.4171028137207	0.025185904362425206	0.0028547592874162216	3	15000	683.689329624176
227.20528101921082	0.02080423106215894	0.001983095668768163	4	20000	911.0201885700226
227.6740174293518	0.018494176832213997	0.0017158939245173687	5	25000	1138.8183562755585
227.63216018676758	0.01701105119828135	0.0015785001160212918	6	30000	1366.5561516284943
227.58887815475464	0.015937913506478073	0.001504376662879945	7	35000	1594.2401010990143
227.6008539199829	0.015091400432400405	0.0014118720025091045	8	40000	1822.0514390468597
227.80112600326538	0.014339196135289967	0.001374928195957526	9	45000	2049.971007347107
227.1434772014618	0.013652216874249279	0.0013175120325275697	10	50000	2277.3000032901764
228.67286705970764	0.013008144072443247	0.0012766750033254024	11	55000	2506.0654861927032
226.90835189819336	0.012475201403722167	0.0012170331231611605	12	60000	2733.09441280365
227.56598329544067	0.01192021372206509	0.0011780211696624078	13	65000	2960.7782323360443
227.1977355480194	0.01145133621841669	0.0011471745835856246	14	70000	3188.0939722061157
227.54040431976318	0.011102691287454218	0.001172173080354945	15	75000	3415.7850193977356
227.2543752193451	0.010719440091960132	0.0010946012011634814	16	80000	3643.1698513031006
228.779545545578	0.010409284096397459	0.0010869910564761884	17	85000	3872.063360452652
226.69962167739868	0.010065762492083014	0.001066275497145813	18	90000	4098.914346933365
227.5084707736969	0.009816327828168868	0.0010645405237236427	19	95000	4326.611695766449
224.91904377937317	0.009489165891613811	0.0010306508887873715	20	100000	4551.623580932617
