current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	current_itr_eval_3600_return_mean	current_itr_eval_3600_return_std	current_itr_eval_3600_length_mean	current_itr_eval_3600_length_std	current_itr_eval_1800_return_mean	current_itr_eval_1800_return_std	current_itr_eval_1800_length_mean	current_itr_eval_1800_length_std	TestEpRet	TestEpNormRet	Iteration	Steps	total_time	current_eval_time
1354.4097418785095	0.20640611528754235	0.11631447822438899	528.8601333874086	82.23306905148209	169.3	21.68893727225933	911.2926714530379	199.17468544370854	273.2	51.0818950314101	528.8601333874086	16.872645218045278	1	5000	1371.3895399570465	16.97878122329712
1353.3804774284363	0.10783411670476198	0.009430371505573592	1828.6855482807605	688.3537684698958	556.4	188.0522267881984	1534.8819645848555	133.50740960861302	483.9	38.2425156076323	1828.6855482807605	56.811085451695334	2	10000	2765.3128616809845	40.41897010803223
1352.9297771453857	0.09143045747429132	0.00572248439883151	1424.4669001624297	815.0414828258229	408.4	211.97179057601036	1446.1364911288215	596.5652302624973	427.9	155.85470798150436	1424.4669001624297	44.39106185912283	3	15000	4151.502264738083	33.13203692436218
1351.7773849964142	0.08388752010017633	0.00513835717515181	1946.6738271865343	821.1221025341765	526.9	218.35587924303755	1691.4844060108699	263.1048535548645	531.4	74.39112850333701	1946.6738271865343	60.4363937210648	4	20000	5545.398915529251	42.019450426101685
1352.336832523346	0.07931101243942976	0.0046526590744940775	2153.715017399368	1077.8394406158052	585.0	282.4779637423068	1287.399203343474	474.48832788183853	418.6	145.8822813092803	2153.715017399368	66.79794205399803	5	25000	6938.093177556992	40.269057750701904
1352.7371819019318	0.07624883348047733	0.0044505036712261005	2838.888123988895	955.9539248106773	770.0	264.87808516372206	1657.2242094118706	176.6128448766527	527.6	48.34087297515426	2838.888123988895	87.85057331792464	6	30000	8342.985135793686	52.02886462211609
1353.8335573673248	0.07379428047165275	0.0043836731356993765	1497.1624364153995	1310.0409217835822	425.0	333.45134577626163	1512.161126136302	268.7753510521898	465.8	74.47791618996868	1497.1624364153995	46.62470515969684	7	35000	9732.475611448288	35.551204442977905
1352.9343099594116	0.07200393735766411	0.004213922180974545	2623.210797443421	876.243296431657	708.8	239.21655461108875	1575.6542531799612	115.26850445508326	487.2	37.54943408361836	2623.210797443421	81.22367102989962	8	40000	11133.303983211517	47.80536222457886
1353.1765208244324	0.07051756817921996	0.0042364515608511325	2249.2721264357715	852.5349199251394	602.9	219.45042720395875	1684.574593089379	146.7689772116348	531.8	39.6050501830259	2249.2721264357715	69.73403011968945	9	45000	12531.775524377823	45.12449336051941
1351.757999420166	0.06931865057870745	0.004160894517910078	2775.2266577764613	947.1962127498406	759.7	260.1315244256259	1702.6250206188681	170.22103449285314	543.7	49.84586241605214	2775.2266577764613	85.8945108849398	10	50000	13935.792178869247	52.13858723640442
1352.4511535167694	0.06822469021826982	0.004092793985635168	2454.4747767573026	1128.7018866610586	683.5	302.7220672498125	1622.5715680634935	339.7816939561601	501.9	96.4846619935003	2454.4747767573026	76.03908746950707	11	55000	15336.007205486298	47.673922538757324
1352.0233149528503	0.06736597187295557	0.004065572955049153	2741.4322157800484	733.7941761006311	744.8	204.75097069366973	1772.4078244206328	269.3959121062295	552.5	77.13786359499464	2741.4322157800484	84.85614274223501	12	60000	16740.021146535873	51.884034872055054
1353.165444135666	0.06662266341894865	0.004034070325437688	1568.491394718171	868.7117857500928	424.4	228.49560170821667	1851.775401974251	362.6904964994254	581.2	105.05217751193928	1568.491394718171	48.8163589814045	13	65000	18133.72239422798	40.448904275894165
1352.412537574768	0.06592366987243295	0.00397124761631541	2224.764185235524	757.4376164219007	601.2	210.0641806686709	1579.1134181416242	454.18641108525793	498.2	129.82049144876936	2224.764185235524	68.98099903285215	14	70000	19530.614528417587	44.34292125701904
1351.9969191551208	0.06524763647243381	0.003948513961706425	2114.5758820734077	1197.6512754826163	585.5	308.5359784530809	1845.4813449478384	193.01361148565334	581.6	55.68339070135726	2114.5758820734077	65.59535284539969	15	75000	20929.901369333267	47.13840293884277
1350.7768077850342	0.06470889081284403	0.003968208351870703	1373.8158230286242	592.7004588986639	372.3	145.8012688559328	1474.1421047441618	138.82033220405708	455.7	37.76519561712874	1373.8158230286242	42.83475668636663	16	80000	22314.149301052094	33.38374614715576
1350.5700707435608	0.06415261073336005	0.003912604542700273	1962.8929206833072	1160.9613884696123	534.7	311.6546325662431	1634.910075239454	254.44737572798087	527.2	76.01026246501192	1962.8929206833072	60.934741644441885	17	85000	23707.875487089157	43.04110312461853
1351.047533750534	0.06383847005739808	0.0038735995681838946	2143.462930600236	1276.3801655389316	588.6	337.26167881928126	1828.894133018285	241.83381029085632	569.7	65.56378573572457	2143.462930600236	66.48293639923406	18	90000	25106.179906845093	47.12894916534424
1350.0541203022003	0.0632602778762579	0.0038240733871266037	3207.2937714600102	767.8771445820962	883.1	213.8581071645403	1453.7411254902515	337.9669164656692	456.0	93.58632378718592	3207.2937714600102	99.1702065276442	19	95000	26511.073211669922	54.74312615394592
1336.1286931037903	0.06287908477038145	0.0038335375764292734	1258.3906578569454	817.0502825509734	359.0	221.63303002937084	1895.4887990903117	121.82279801930008	590.0	32.42529876500755	1258.3906578569454	39.288202658534736	20	100000	27881.277287960052	33.97200894355774
