current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	Iteration	Steps	total_time
421.77119874954224	0.816206269210577	0.6011436782597558	1	5000	421.7718234062195
422.0094771385193	0.6856230240225792	0.059585417910531055	2	10000	843.9128234386444
421.7416090965271	0.7168298891305923	0.05725493765646793	3	15000	1265.7936017513275
420.86390376091003	0.7297533867955208	0.055724319214549164	4	20000	1686.7909142971039
421.457501411438	0.7362762995123863	0.05517312230749511	5	25000	2108.365684747696
420.6026723384857	0.7415306233525276	0.05464459292687236	6	30000	2529.0746886730194
421.44273686408997	0.7458883265852928	0.053972543528405234	7	35000	2950.6854734420776
421.202588558197	0.7500949170589447	0.05532446700213417	8	40000	3372.0022099018097
421.41452741622925	0.753171068918705	0.05390528730915199	9	45000	3793.5154387950897
421.5130732059479	0.755618115913868	0.05343207891088716	10	50000	4215.166485309601
421.76461696624756	0.758456201672554	0.05290657816174557	11	55000	4637.048931121826
420.79574489593506	0.7614940062046051	0.053762287963211516	12	60000	5057.953409194946
421.48465394973755	0.7619583989501	0.053266200253033344	13	65000	5479.608124256134
420.463495016098	0.763302397286892	0.05165343638369779	14	70000	5900.19238448143
427.5695700645447	0.766442417371273	0.05354922006967482	15	75000	6327.87687420845
438.15235590934753	0.7675218307256698	0.05174007451439525	16	80000	6766.150601863861
438.8773310184479	0.7692174152612686	0.05101304233436297	17	85000	7205.180258989334
437.87236166000366	0.7700839725017548	0.05204954642866085	18	90000	7643.170350790024
437.0420672893524	0.7721693025708198	0.05315496465154415	19	95000	8080.322563409805
435.22912406921387	0.7730130516290664	0.051469418336127136	20	100000	8515.655553340912
