current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	Iteration	Steps	total_time
376.29672622680664	0.4453994530789554	0.8309755781781553	1	5000	376.29742336273193
375.18419671058655	0.07126284496858716	0.0171115947590804	2	10000	751.5919094085693
374.5272672176361	0.05293542646355927	0.011254848263008873	3	15000	1126.2383396625519
375.3723475933075	0.04532612739130855	0.009759620647312547	4	20000	1501.751301765442
374.39182591438293	0.04090291313380003	0.008606902655154892	5	25000	1876.2277834415436
374.15797328948975	0.03822721401564777	0.007887894530497994	6	30000	2250.536705493927
375.3267593383789	0.03588285354375839	0.007355019756949027	7	35000	2625.963994026184
375.2963855266571	0.03425785156413913	0.006980787383563372	8	40000	3001.3755538463593
374.85951375961304	0.03319092940092087	0.006939134575795993	9	45000	3376.339079618454
374.8692705631256	0.03203877044543624	0.006659395011662638	10	50000	3751.3226294517517
374.89453315734863	0.03117713517136872	0.006430597962368706	11	55000	4126.338400840759
374.75758242607117	0.030100902988389133	0.006176560211150264	12	60000	4501.200350284576
374.72944140434265	0.029662697486579417	0.006398918068696508	13	65000	4876.039046525955
371.81369638442993	0.028980658232420683	0.005907760814286036	14	70000	5247.976549863815
366.0866332054138	0.028205077911540866	0.005795039624053311	15	75000	5614.164155244827
365.2339131832123	0.027679530472308398	0.005573842832201325	16	80000	5979.561468362808
365.58055686950684	0.027266804206743836	0.005737724898725212	17	85000	6345.268440485001
365.1414830684662	0.02683641067724675	0.00554259812739755	18	90000	6710.5437750816345
365.3109703063965	0.026266512254998087	0.005468401630323706	19	95000	7075.965696334839
364.42319917678833	0.025782721349783242	0.005280022592138062	20	100000	7440.508825063705
