current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	Iteration	Steps	total_time
328.8243327140808	0.4593910984352231	1.1245044229575558	1	5000	328.82504868507385
327.7630729675293	0.028373790229856966	0.004811661071383517	2	10000	656.7114822864532
327.6343321800232	0.019753453087247907	0.002006696803155632	3	15000	984.458714723587
327.06703758239746	0.016297456635162234	0.0014234440509555302	4	20000	1311.6574985980988
327.74110174179077	0.014352722022496165	0.0011751992147832795	5	25000	1639.5160419940948
338.1302649974823	0.013016476070135832	0.001030093146615804	6	30000	1977.7557454109192
344.2098994255066	0.012081210528872907	0.0009716109581926948	7	35000	2322.0768501758575
343.6695876121521	0.0113861442476511	0.0009291904209465746	8	40000	2665.8673281669617
343.57294178009033	0.01078335758522153	0.0009028059640911509	9	45000	3009.5509617328644
337.4192490577698	0.010263072967436164	0.0008638545702884255	10	50000	3347.100373029709
344.81774520874023	0.009827162556163966	0.0008161626537838855	11	55000	3692.039796590805
345.128142118454	0.009467111383471638	0.0008351399773560052	12	60000	4037.2684762477875
343.1107556819916	0.009006193514727055	0.0007577579016138509	13	65000	4380.5008499622345
344.7449288368225	0.008694696252886205	0.0007528227857319152	14	70000	4725.35724902153
332.70491433143616	0.008386151620466261	0.0007114688873234287	15	75000	5058.170984745026
329.06083941459656	0.008150505468063056	0.0007194289989684732	16	80000	5387.356271266937
331.1368463039398	0.007885809814278036	0.0006954036530903414	17	85000	5718.6261122226715
334.2274281978607	0.007683993353974074	0.0006833458174793684	18	90000	6052.971002817154
336.78703689575195	0.007464481432642787	0.0006513209735384636	19	95000	6389.899749994278
322.2737123966217	0.0072661056622862815	0.0006467596520581724	20	100000	6712.284528493881
