current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	current_itr_eval_2000_return_mean	current_itr_eval_2000_return_std	current_itr_eval_2000_length_mean	current_itr_eval_2000_length_std	current_itr_eval_5000_return_mean	current_itr_eval_5000_return_std	current_itr_eval_5000_length_mean	current_itr_eval_5000_length_std	TestEpRet	TestEpNormRet	Iteration	Steps	total_time	current_eval_time
1461.495532989502	0.13666598898880183	0.18052141426895482	2865.9162536590475	834.2860213151748	884.3	231.7507497291001	2321.9616447172075	1038.2094479885275	877.0	253.1939967692757	2321.9616447172075	62.95773535103815	1	5000	1547.9740300178528	86.47743248939514
1457.6422500610352	0.049061105423793196	0.008077977187922355	2446.1870584912044	956.174744336001	895.6	192.0355175481869	2835.5915420656647	1208.5710326058095	860.2	284.87358599912346	2835.5915420656647	75.1716058798579	2	10000	3092.03564286232	86.37028074264526
1459.3460116386414	0.04446482599116862	0.00728283788135873	3031.563303433164	177.51524281902593	975.1	74.7	2599.1922990056505	1121.3642780124069	744.0	295.2202567575606	2599.1922990056505	69.55014622038024	3	15000	4634.259814739227	82.84285998344421
1459.5372216701508	0.04144927070066333	0.006316252092154035	2637.640352397086	1045.7680167420947	848.7	289.0058995937626	2321.4667854954077	1138.9870740270544	796.6	295.6917990070066	2321.4667854954077	62.94596783809496	4	20000	6175.272171020508	81.2582619190216
1423.4504578113556	0.039128966157138345	0.0055598173475292795	2130.2967448377294	705.3419147562298	845.3	257.46613369528814	3176.654562902717	792.648614395139	918.8	214.4004664174031	3176.654562902717	83.28191955158292	5	25000	7680.711849689484	81.87295341491699
1397.1275825500488	0.036814523310959336	0.0047504624597480855	1069.5126230826131	909.0361046145099	514.1	388.3965628066243	1870.796231368719	1333.5702048208932	586.0	397.3789123745748	1870.796231368719	52.22924003920574	6	30000	9125.939182043076	48.08622193336487
1373.0447952747345	0.0348609271209687	0.004127258706833816	2390.8151853939426	1058.5517112596453	758.2	326.7747848289399	3504.747324218838	95.09109509204562	1000.0	0.0	3504.747324218838	91.08380672529516	7	35000	10575.711900234222	76.71442890167236
1374.5938727855682	0.03319061472043395	0.0035225685382133925	2135.8721874638477	1085.845546101426	770.5	334.03420483537315	3466.358893704181	426.13690981441044	1000.0	0.0	3466.358893704181	90.17094841519466	8	40000	12028.142560005188	77.82195973396301
1372.0005984306335	0.03210137150585651	0.003207007843116889	1807.5077172745575	1073.9935081957105	641.7	367.5837455601104	2667.4150189278535	1330.960232996452	911.2	228.92697525630308	2667.4150189278535	71.17244950248146	9	45000	13470.29440689087	70.13740849494934
1325.1730451583862	0.031170123425871134	0.0029562374576696084	2219.584962544797	912.4340791873744	747.7	290.48168616971367	3242.761289692532	797.8192579972284	892.6	211.6086954735084	3242.761289692532	84.85390554044972	10	50000	14860.15236568451	64.6718258857727
1380.3523581027985	0.030371742239966987	0.002788752498034112	1729.1027871677513	1272.9599615895372	607.6	394.98992392211727	2880.004066089669	1110.2432374437392	805.2	303.91998947091326	2880.004066089669	76.22771421990508	11	55000	16302.48614692688	61.96881723403931
1393.266471862793	0.02977391049452126	0.002618192369877994	2689.964291068097	933.7954502996993	939.6	181.2	3424.687195167392	401.80663932853736	970.0	90.0	3424.687195167392	89.18001557956369	12	60000	17780.88953447342	85.12234663963318
1392.83771109581	0.02921611115895212	0.0025338205161904363	2393.916532683593	768.0006600733616	900.1	206.2573392633581	3555.5139431269113	120.34248723992938	1000.0	0.0	3555.5139431269113	92.29101236836637	13	65000	19260.134972810745	86.39320111274719
1395.9610137939453	0.028809471426904203	0.0024657977441734317	2879.7634586378235	715.1796329619012	944.4	166.79999999999998	3499.5067370377437	87.8291642365465	1000.0	0.0	3499.5067370377437	90.95918809687164	14	70000	20742.086686611176	85.95209670066833
1395.8145973682404	0.028368367071822286	0.002393267437058454	2810.9467736481574	909.1403310886581	892.5	269.0008364299264	2882.7945265226235	1233.1069749092562	924.8	225.6	2882.7945265226235	76.2940700193238	15	75000	22221.462264060974	83.54451107978821
1393.5753762722015	0.028109376489371063	0.002314454897780422	3062.2525265739655	497.66230659633067	976.9	69.3	2593.9217339559023	1554.395647762732	814.9	370.2033090073615	2593.9217339559023	69.42481473273969	16	80000	23696.602871656418	81.551274061203
1393.1565690040588	0.02780895728506148	0.002267715952706258	2752.949456995647	849.88798504096	856.9	213.7304143073699	3583.534835491223	114.73133132356959	992.9	14.7	3583.534835491223	92.95733563577444	17	85000	25171.938677549362	82.16554141044617
1390.3132338523865	0.027542839216813445	0.00222802403760963	3080.1794403765844	414.81865491901766	934.6	114.28140706169137	3523.431892166306	152.27309126247857	1000.0	0.0	3523.431892166306	91.5281167138208	18	90000	26649.56692647934	87.30129885673523
1392.2225675582886	0.02729853752180934	0.0021844842991256067	2789.3059881485788	1011.6193362702571	842.4	292.2917036113068	3225.779858636938	1027.8376681230657	908.1	275.7	3225.779858636938	84.45009532344751	19	95000	28121.581755161285	79.77781867980957
1376.6817905902863	0.02707830654270947	0.0021851381316298447	1998.2164287162936	1045.0957450524875	696.4	342.78833118996334	3050.4881098311907	1153.065134588719	849.7	308.0428703930672	3050.4881098311907	80.2817423211469	20	100000	29566.040163993835	67.76419138908386
